,date,Q  (m3/s),T (C)
112,2021-01-21,0.13266608510964836,1.6067901234567896
113,2021-01-22,0.13389905706175959,1.535378086419752
114,2021-01-23,0.16256240498105692,1.0476851851851858
115,2021-01-24,0.18063780267529123,0.9284336419753083
116,2021-01-25,0.23223046489267876,0.9005401234567904
117,2021-01-26,0.16009960976256865,0.7728395061728394
118,2021-01-27,0.15714756939692232,0.9727237654320966
119,2021-01-28,0.13102425593263728,1.3588348765432086
120,2021-01-29,0.13135159352045606,1.4958333333333316
121,2021-01-30,0.1296505366492308,1.3723765432098745
122,2021-01-31,0.2233709017146339,0.9513117283950616
123,2021-02-01,0.14187292445773098,1.07758487654321
124,2021-02-02,0.130528712202673,1.5021990740740723
125,2021-02-03,0.205515213640682,1.2197530864197526
126,2021-02-04,0.18372661372371912,0.8392746913580242
127,2021-02-05,0.17498095808050343,0.8274691358024682
128,2021-02-06,0.1563250326833816,0.9699459876543233
129,2021-02-07,0.30395533620854986,1.2366126543209877
130,2021-02-08,0.17461377973147915,1.2440972222222209
131,2021-02-09,0.1300198798601636,1.3895447530864213
132,2021-02-10,0.13298608980799215,1.2086419753086406
133,2021-02-11,0.1330593311672787,1.4273919753086424
134,2021-02-12,0.1389286011429165,1.0842592592592597
135,2021-02-13,0.17961079741693278,0.8534722222222232
136,2021-02-14,0.2256436637063191,1.139814814814815
137,2021-02-15,0.1498870719739765,0.9028163580246916
138,2021-02-16,0.19412338580595603,1.0371527777777765
139,2021-02-17,0.2003010290379013,0.783333333333333
140,2021-02-18,0.2192499623768999,0.7852623456790114
141,2021-02-19,0.15274937550563542,0.9493441358024709
142,2021-02-20,0.17126152942410988,1.3482253086419747
143,2021-02-21,0.28473204314391815,0.9645447530864187
144,2021-02-22,0.21456504561181522,1.174151234567901
145,2021-02-23,0.29452780532692147,1.170254629629629
146,2021-02-24,0.2559492453866642,1.1785108024691349
147,2021-02-25,0.21808843322949711,1.1032407407407403
148,2021-02-26,0.16807924490377635,1.1529320987654321
149,2021-02-27,0.21324873292781726,0.8797839506172838
150,2021-02-28,0.2580992877384575,0.8548996913580241
151,2021-03-01,0.19656306377815744,0.917939814814814
152,2021-03-02,0.19246990898113825,1.1171296296296291
153,2021-03-03,0.32188195599314084,1.2577546296296298
154,2021-03-04,0.14381082042163584,1.255555555555555
155,2021-03-05,0.26873372399284834,1.4913966049382719
156,2021-03-06,0.180810637491928,1.4015817901234575
157,2021-03-07,0.16108848102496964,1.559645061728397
158,2021-03-08,0.13390594476040174,1.2728395061728397
159,2021-03-09,0.23369340130306268,1.4197530864197547
160,2021-03-10,0.198969949279323,1.0389274691358013
161,2021-03-11,0.20697912049824913,1.2059027777777762
162,2021-03-12,0.2144012622856797,1.4475694444444445
163,2021-03-13,0.19684580742863594,1.0141203703703714
164,2021-03-14,0.1454147751603838,1.4008454106280201
165,2021-03-15,0.13489159197554074,1.6109567901234576
166,2021-03-16,0.17059971735516036,1.4645447530864208
167,2021-03-17,0.16664003799297117,1.616358024691358
168,2021-03-18,0.18326396238310824,1.6889274691358018
169,2021-03-19,0.18961736148235764,2.003973765432098
170,2021-03-20,0.21417125368444642,1.518402777777776
171,2021-03-21,0.14831231834181255,1.5146219135802472
172,2021-03-22,0.14853048449159456,2.003086419753087
173,2021-03-23,0.15632721806599714,1.6453317901234579
174,2021-03-24,0.15102070289432384,1.7246913580246925
175,2021-03-25,0.15134754173806547,1.564120370370369
176,2021-03-26,0.1496079803587322,1.5942129629629624
177,2021-03-27,0.24610462809416786,1.9179398148148128
178,2021-03-28,0.25914472870954885,1.9697145061728396
179,2021-03-29,0.20520676141822494,2.1599922839506176
180,2021-03-30,0.18113155520602475,1.9522762345678994
181,2021-03-31,0.23819477931582686,1.629668209876544
182,2021-04-01,0.2621868150578776,1.9429783950617283
183,2021-04-02,0.2072556397133677,2.276581790123457
184,2021-04-03,0.26298684946947887,2.178125
185,2021-04-04,0.31883084909673604,1.8706018518518523
186,2021-04-05,0.5476272659941984,1.3585262345679014
187,2021-04-06,0.8999288923513148,1.1456404320987654
188,2021-04-07,0.806252212005763,1.5343364197530878
189,2021-04-08,0.8358257043256478,1.710995370370371
190,2021-04-09,0.8554466881749726,1.537577160493828
191,2021-04-10,0.9507504511561101,1.6466820987654327
192,2021-04-11,1.035790270531226,2.0263503086419754
193,2021-04-12,1.1833934928925667,2.143865740740741
194,2021-04-13,1.1419078031621739,1.9744598765432133
195,2021-04-14,0.973147677158955,2.7244212962962946
196,2021-04-15,0.9012611017775932,1.982986111111114
197,2021-04-16,0.803764183205769,2.7304398148148143
198,2021-04-17,0.7803398550150242,2.6033950617283947
199,2021-04-18,0.812107623300862,2.482908950617283
200,2021-04-19,0.8777870353412006,2.5300540123456785
201,2021-04-20,0.8522297161217225,2.517592592592592
202,2021-04-21,0.7955492728667342,2.400655864197528
203,2021-04-22,0.7241236534093006,2.473726851851852
204,2021-04-23,0.6575420357558999,2.524035493827159
205,2021-04-24,0.6061679691523312,3.085686728395061
206,2021-04-25,0.7319776385526356,4.433063271604937
207,2021-04-26,0.9366959781555355,3.707947530864196
208,2021-04-27,0.934828613743228,3.097453703703703
209,2021-04-28,0.8978236706010677,3.488927469135803
210,2021-04-29,1.2462102944586757,4.076388888888889
211,2021-04-30,2.41221747944468,3.8904706790123433
212,2021-05-01,3.810017558205203,3.6374614197530857
213,2021-05-02,4.475821600319215,3.601003086419751
214,2021-05-03,3.889457730855332,2.460455246913582
215,2021-05-04,2.401548147168074,3.167862654320987
216,2021-05-05,1.811097489655699,4.121219135802467
217,2021-05-06,1.8056180629706187,4.7354552469135776
218,2021-05-07,2.395492235619786,4.59158950617284
219,2021-05-08,3.0513181658912627,4.2074074074074055
220,2021-05-09,2.807932555690438,3.5242283950617277
221,2021-05-10,2.37640031321053,2.931481481481478
222,2021-05-11,1.85331192193842,3.370216049382715
223,2021-05-12,1.5516640736367266,4.3401234567901215
224,2021-05-13,1.5548073650432002,4.852160493827159
225,2021-05-14,2.0206332453434124,5.149961419753084
226,2021-05-15,3.0246233565639935,4.838850308641974
227,2021-05-16,4.313427845028659,4.921643518518513
228,2021-05-17,4.760746794315814,4.091242283950617
229,2021-05-18,3.7772738998687476,4.569791666666664
230,2021-05-19,4.685471438030353,5.348611111111107
231,2021-05-20,6.732461073184046,5.071180555555554
232,2021-05-21,6.30854863616963,4.223524904214558
233,2021-05-22,6.436935001838409,5.141550925925926
234,2021-05-23,6.988426285168942,4.372067901234568
235,2021-05-24,6.106319621122672,4.575964506172835
236,2021-05-25,7.202667270544165,4.918364197530863
237,2021-05-26,6.699993738668251,4.360956790123455
238,2021-05-27,6.457828725323083,5.253819444444442
239,2021-05-28,7.925993359186631,5.155516975308638
240,2021-05-29,8.595289180028056,5.162384259259259
241,2021-05-30,7.749292265479244,4.728395061728393
242,2021-05-31,7.183542481163775,5.157203065134096
243,2021-06-01,7.388086535390784,5.304822530864195
244,2021-06-02,8.503348197912981,5.74656635802469
