ParameterColumnName,StartDateTime.MST,SensorMake,SensorModel,SensorSN,SensorAccuracy,SensorRange,DataQAQC,Easting.UTM.13N,Northing.UTM.13N,GradeElevation.masl,WaterBodyType,SensorContext,ScreenIntervalTop.m,ScreenIntervalBottom.m,InstallationSediment,SiteName,Institution
SR-OBJ4-GBPiezo-335_WaterTemp.deg.C,7/6/20 0:00,Onset,HOBO U20L-04,20854444,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324107.16,4308685.814,2726.096,groundwater [ENVO:01001004],Well,3.274,3.426,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ4-GBPiezo-335_DTW.m,7/6/20 0:00,Onset,HOBO U20L-04,20854444,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324107.16,4308685.814,2726.096,groundwater [ENVO:01001004],Well,3.274,3.426,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ4-GBPiezo-335_WaterLevelElev.masl,7/6/20 0:00,Onset,HOBO U20L-04,20854444,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324107.16,4308685.814,2726.096,groundwater [ENVO:01001004],Well,3.274,3.426,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-DSofDAM-VHG-90_WaterTemp.deg.C,6/28/21 12:00,Onset,HOBO U20L-04,21132065,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324163.79,4308686.51,2725.669,groundwater [ENVO:01001004],Well,0.824,0.976,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-DSofDAM-VHG-90_DTW.m,6/28/21 12:00,Onset,HOBO U20L-04,21132065,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324163.79,4308686.51,2725.669,groundwater [ENVO:01001004],Well,0.824,0.976,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-DSofDAM-VHG-90_WaterLevelElev.masl,6/28/21 12:00,Onset,HOBO U20L-04,21132065,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324163.79,4308686.51,2725.669,groundwater [ENVO:01001004],Well,0.824,0.976,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-DSofDAM-VHG-160_WaterTemp.deg.C,6/28/21 12:00,Onset,HOBO U20L-04,21145253,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324163.69,4308686.37,2725.682,groundwater [ENVO:01001004],Well,1.524,1.676,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-DSofDAM-VHG-160_DTW.m,6/28/21 12:00,Onset,HOBO U20L-04,21145253,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324163.69,4308686.37,2725.682,groundwater [ENVO:01001004],Well,1.524,1.676,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-DSofDAM-VHG-160_WaterLevelElev.masl,6/28/21 12:00,Onset,HOBO U20L-04,21145253,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324163.69,4308686.37,2725.682,groundwater [ENVO:01001004],Well,1.524,1.676,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ-GBPiezo-7_WaterTemp.deg.C,7/31/20 0:00,Onset,HOBO U20L-04,20854450,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324163.99,4308686.179,2725.699,groundwater [ENVO:01001004],Well,3.234,3.386,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ-GBPiezo-7_DTW.m,7/31/20 0:00,Onset,HOBO U20L-04,20854450,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324163.99,4308686.179,2725.699,groundwater [ENVO:01001004],Well,3.234,3.386,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-OBJ-GBPiezo-7_WaterLevelElev.masl,7/31/20 0:00,Onset,HOBO U20L-04,20854450,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324163.99,4308686.179,2725.699,groundwater [ENVO:01001004],Well,3.234,3.386,Cobble,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-Floodplain-VHG-115_WaterTemp.deg.C,6/28/21 12:00,Onset,HOBO U20L-04,21145254,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324115.62,4308692.04,2726.02,groundwater [ENVO:01001004],Well,1.074,1.226,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-Floodplain-VHG-115_DTW.m,6/28/21 12:00,Onset,HOBO U20L-04,21145254,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324115.62,4308692.04,2726.02,groundwater [ENVO:01001004],Well,1.074,1.226,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-Floodplain-VHG-115_WaterLevelElev.masl,6/28/21 12:00,Onset,HOBO U20L-04,21145254,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324115.62,4308692.04,2726.02,groundwater [ENVO:01001004],Well,1.074,1.226,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-Floodplain-VHG-160_WaterTemp.deg.C,6/28/21 12:00,Onset,HOBO U20L-04,21132094,+/- 0.44 deg C,0 to 50 deg C,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324115.48,4308692.31,2726.022,groundwater [ENVO:01001004],Well,1.524,1.676,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-Floodplain-VHG-160_DTW.m,6/28/21 12:00,Onset,HOBO U20L-04,21132094,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324115.48,4308692.31,2726.022,groundwater [ENVO:01001004],Well,1.524,1.676,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
SR-Floodplain-VHG-160_WaterLevelElev.masl,6/28/21 12:00,Onset,HOBO U20L-04,21132094,+/- 0.8 cm,0 to 7 m,Remove values when sensor is out of water. Also remove miscellaneous voltage spikes,324115.48,4308692.31,2726.022,groundwater [ENVO:01001004],Well,1.524,1.676,Fines,Slate River Floodplain,SLAC Groundwater Quality SFA
